Business Name,Address,Phone,Email,Contact Name,URL,Snippets
"Hotels, Accommodation & Cheap Hotel Deals | Book at Expedia site",,,,,https://www.expedia.com/Hotels?msockid=0af9cfb8932466490c46d8ae928f67c6,Expedia's Hotel Search makes booking easy. Choose from thousands of hotel discounts & cheap hotel rooms. Pick the perfect hotel deal & save!
"Booking.com | Official site | The best hotels, flights, car rentals ...",,,,,https://www.booking.com/?msockid=0af9cfb8932466490c46d8ae928f67c6,"Explore the world with Booking.com. Big savings on homes, hotels, flights, car rentals, taxis, and attractions – build your perfect trip on any budget."
Hotels: Find Cheap Hotel Deals & Discounts - KAYAK,,,,,https://www.kayak.com/hotels?msockid=0af9cfb8932466490c46d8ae928f67c6,KAYAK searches hundreds of travel sites so you can find the perfect hotel at the right price. Read millions of verified guest reviews for hotels across the world.
Hotels: Find Cheap Hotel Rooms & Discount Hotels | Priceline,,,,,https://www.priceline.com/hotels?msockid=0af9cfb8932466490c46d8ae928f67c6,"1 day ago · Get great deals on hotels, resorts and private rentals. Save even more on last minute deals and hotels nearby. Book a hotel for cheap today with free cancellation for more flexibility."
trivago.com - Compare hotel prices worldwide,,,,,https://www.trivago.com/?msockid=0af9cfb8932466490c46d8ae928f67c6,Compare hotel prices from hundreds of travel sites and get great deals. Save time and money on finding your ideal accommodation with millions of reviews and photos on trivago.com
Cheap Hotels: Book Hotel Deals With Our Hotel Finder | Travelocity,,,,,https://www.travelocity.com/Hotels?msockid=0af9cfb8932466490c46d8ae928f67c6,"Use Travelocity's Hotel Finder to book your next hotel, backed by our Price Match Guarantee. Search hotel deals, read reviews and Wander Wisely!"
IHG Hotels & Resorts® | Book Direct for Exclusive Hotel Deals,,,,,https://www.ihg.com/hotels/us/en/reservation?msockid=0af9cfb8932466490c46d8ae928f67c6,"Save at any of IHG Hotels & Resorts' 6,000+ locations when you book direct. Choose from luxury hotels, resorts, extended stay hotels, pet-friendly hotels and more."
Hotels.com - Deals & Discounts for Hotel Reservations from Luxury ...,,,,,https://www.hotels.com/?msockid=1794b2d6e3ef66662f41a5c0e2cc6756,"Find cheap hotels and discounts when you book on Hotels.com. Compare hotel deals, offers and read unbiased reviews on hotels."
"Hotels, Accommodation & Cheap Hotel Deals | Book at Expedia site",,,,,https://www.expedia.com/Hotels?msockid=1794b2d6e3ef66662f41a5c0e2cc6756,Expedia's Hotel Search makes booking easy. Choose from thousands of hotel discounts & cheap hotel rooms. Pick the perfect hotel deal & save!
"Booking.com | Official site | The best hotels, flights, car rentals ...",,,,,https://www.booking.com/?msockid=1794b2d6e3ef66662f41a5c0e2cc6756,"Explore the world with Booking.com. Big savings on homes, hotels, flights, car rentals, taxis, and attractions – build your perfect trip on any budget."
Hotels: Find Cheap Hotel Deals & Discounts - KAYAK,,,,,https://www.kayak.com/hotels?msockid=1794b2d6e3ef66662f41a5c0e2cc6756,KAYAK searches hundreds of travel sites so you can find the perfect hotel at the right price. Read millions of verified guest reviews for hotels across the world.
Hotels: Find Cheap Hotel Rooms & Discount Hotels | Priceline,,,,,https://www.priceline.com/hotels?msockid=1794b2d6e3ef66662f41a5c0e2cc6756,"1 day ago · Get great deals on hotels, resorts and private rentals. Save even more on last minute deals and hotels nearby. Book a hotel for cheap today with free cancellation for more flexibility."
trivago.com - Compare hotel prices worldwide,,,,,https://www.trivago.com/?msockid=1794b2d6e3ef66662f41a5c0e2cc6756,Compare hotel prices from hundreds of travel sites and get great deals. Save time and money on finding your ideal accommodation with millions of reviews and photos on trivago.com
Cheap Hotels: Book Hotel Deals With Our Hotel Finder | Travelocity,,,,,https://www.travelocity.com/Hotels?msockid=1794b2d6e3ef66662f41a5c0e2cc6756,"Use Travelocity's Hotel Finder to book your next hotel, backed by our Price Match Guarantee. Search hotel deals, read reviews and Wander Wisely!"
IHG Hotels & Resorts® | Book Direct for Exclusive Hotel Deals,,,,,https://www.ihg.com/hotels/us/en/reservation?msockid=1794b2d6e3ef66662f41a5c0e2cc6756,"Save at any of IHG Hotels & Resorts' 6,000+ locations when you book direct. Choose from luxury hotels, resorts, extended stay hotels, pet-friendly hotels and more."
